species,genus,binom,family,order,class
pinaster,Pinus,Pinus pinaster,Pinaceae,Pinales,Pinopsida
sericea,Hakea,Hakea sericea,Proteaceae,Proteales,Magnoliopsida
fiber,Castor,Castor fiber,Castoridae,Rodentia,Mammalia
hookeri,Oenothera,Oenothera hookeri,NA,NA,NA
sanrafaelae,Osmia,Osmia sanrafaelae,Megachilidae,Hymenoptera,Insecta
glauca,Rhyncholaelia,Rhyncholaelia glauca,Orchidaceae,Asparagales,Liliopsida
NA,Mammillar,Mammillar ,Apiaceae,Apiales,NA
polyphyllus,Lupinus,Lupinus polyphyllus,Fabaceae,Fabales,Magnoliopsida
lignaria,Osmia,Osmia lignaria,Megachilidae,Hymenoptera,Insecta
striata,Lespedeza,Lespedeza striata,NA,NA,NA
ciliaris,Digitaria,Digitaria ciliaris,Poaceae,Poales,NA
fasciculata,Chamaecrista,Chamaecrista fasciculata,Fabaceae,Fabales,Magnoliopsida
exaltata,Sesbania,Sesbania exaltata,Fabaceae,Fabales,Magnoliopsida
esculentus,Cyperus,Cyperus esculentus,Cyperaceae,Poales,NA
georgiana,Melospiza,Melospiza georgiana,Passerellidae,Passeriformes,Aves
NA,Ambros,Ambros ,NA,NA,NA
NA,Ipomo,Ipomo ,NA,NA,NA
cuspidatam,Sphagnum,Sphagnum cuspidatam,Sphagnaceae,Sphagnales,Sphagnopsida
elegans,Gila,Gila elegans,Cyprinidae,Cypriniformes,Actinopterygii
lucius,Ptychocheilus,Ptychocheilus lucius,Cyprinidae,Cypriniformes,Actinopterygii
argentissimus,Plagopterus,Plagopterus argentissimus,Cyprinidae,Cypriniformes,Actinopterygii
bovinus,Cyprinodon,Cyprinodon bovinus,NA,NA,NA
nobilis,Gambusia,Gambusia nobilis,NA,NA,NA
hawaiiensis,Corvus,Corvus hawaiiensis,Corvidae,Passeriformes,Aves
cookianum,Phormium,Phormium cookianum,NA,NA,NA
sandbergii,Poa,Poa sandbergii,Poaceae,Poales,NA
atratus,Coragyps,Coragyps atratus,Coragyps,Accipitriformes,Aves
NA,Trifoli,Trifoli ,NA,NA,NA
leucotricha,Stipa,Stipa leucotricha,NA,NA,NA
oligosanthes,Dichanthelium,Dichanthelium oligosanthes,Poaceae,Poales,Liliopsida
oligantha,Aristida,Aristida oligantha,Poaceae,Poales,Liliopsida
pumila,Sapyga,Sapyga pumila,NA,NA,NA
cornifrons,Osmia,Osmia cornifrons,Megachilidae,Hymenoptera,Insecta
gramineus,Pocecetes,Pocecetes gramineus,NA,NA,NA
cassinii,Aimophila,Aimophila cassinii,NA,NA,NA
NA,Ammodram,Ammodram ,NA,NA,NA
ine,Jack,Jack ine,NA,NA,NA
flavipes,Megachile,Megachile flavipes,Megachilidae,Hymenoptera,Insecta
chloris,Acanthisitta,Acanthisitta chloris,Acanthisittidae,Passeriformes,Aves
ornatus,Trichodes,Trichodes ornatus,Cleridae,Coleoptera,Insecta
pugnata,Megachile,Megachile pugnata,Megachilidae,Hymenoptera,Insecta
sulphurea,Cacatua,Cacatua sulphurea,Cacatuidae,Psittaciformes,Aves
cornuta,Osmia,Osmia cornuta,Megachilidae,Hymenoptera,Insecta
obsoletus,Monodontomerus,Monodontomerus obsoletus,NA,NA,NA
osmiae,Chaetodactylus,Chaetodactylus osmiae,NA,NA,NA
vittata,Centris,Centris vittata,Apidae,Hymenoptera,Insecta
thielei,Duckeanthidium,Duckeanthidium thielei,NA,NA,NA
angulosa,Monobia,Monobia angulosa,NA,NA,NA
analis,Centris,Centris analis,Apidae,Hymenoptera,Insecta
maura,Tetrapedia,Tetrapedia maura,Apidae,Hymenoptera,Insecta
NA,Tetraped,Tetraped ,NA,NA,NA
NA,Saranthidi,Saranthidi ,NA,NA,NA
NA,Collet,Collet ,NA,NA,NA
NA,Anthodioct,Anthodioct ,NA,NA,NA
NA,Megachi,Megachi ,NA,NA,NA
NA,Euglos,Euglos ,NA,NA,NA
NA,Centr,Centr ,NA,NA,NA
NA,Eufries,Eufries ,NA,NA,NA
emarginata,Malpighia,Malpighia emarginata,Malpighiaceae,Malpighiales,Magnoliopsida
basalis,Hylaeus,Hylaeus basalis,Colletidae,Hymenoptera,Insecta
vulgaris,Vespula,Vespula vulgaris,Vespidae,Hymenoptera,Insecta
esculentum,Fagopyron,Fagopyron esculentum,NA,NA,NA
laevis,Poa,Poa laevis,Poaceae,Poales,NA
setifolia,Notodanthonia,Notodanthonia setifolia,NA,NA,NA
colensoi,Poa,Poa colensoi,Poaceae,Poales,NA
novae,Festuca,Festuca novae,Poaceae,Poales,Liliopsida
cita,Poa,Poa cita,Poaceae,Poales,NA
gryphus,Vultur,Vultur gryphus,Vultur,Accipitriformes,Aves
pallens,Chionochloa,Chionochloa pallens,Poaceae,Poales,Liliopsida
haastii,Anisotome,Anisotome haastii,Apiaceae,Apiales,Magnoliopsida
lepturus,Phaethon,Phaethon lepturus,Phaethon,Phaethontiformes,Aves
dactylatra,Sula,Sula dactylatra,Sula,Suliformes,Aves
macra,Chionochloa,Chionochloa macra,Poaceae,Poales,Liliopsida
europaeaus,Lepus,Lepus europaeaus,NA,NA,NA
novaezelandiae,Himantopus,Himantopus novaezelandiae,Recurvirostridae,Charadriiformes,Aves
NA,Noma,Noma ,NA,NA,NA
alpina,Hymenanthera,Hymenanthera alpina,Violaceae,Malpighiales,Magnoliopsida
tonmatou,Discaria,Discaria tonmatou,NA,NA,NA
fulvida,Cassinia,Cassinia fulvida,NA,NA,NA
propinqua,Coprosma,Coprosma propinqua,Rubiaceae,Gentianales,Magnoliopsida
cotoneaster,Corokia,Corokia cotoneaster,Argophyllaceae,Asterales,Magnoliopsida
oprosma,Hymenanthera,Hymenanthera oprosma,NA,NA,NA
madeira,Pterodroma,Pterodroma madeira,Procellariidae,Procellariiformes,Aves
ludovicianus,Lanius,Lanius ludovicianus,Laniidae,Passeriformes,Aves
leucogaster,Onychomys,Onychomys leucogaster,Cricetidae,Rodentia,Mammalia
gracilis,Bouteluoa,Bouteluoa gracilis,NA,NA,NA
hymenoides,Stipa,Stipa hymenoides,Poaceae,Poales,Liliopsida
jamesii,Hilaria,Hilaria jamesii,Poaceae,Poales,Liliopsida
leucurus,Ammospermophilus,Ammospermophilus leucurus,Sciuridae,Rodentia,Mammalia
ordii,Dipodomys,Dipodomys ordii,Heteromyidae,Rodentia,Mammalia
parvus,Perognathus,Perognathus parvus,Heteromyidae,Rodentia,Mammalia
stricta,Oxalis,Oxalis stricta,Oxalidaceae,Oxalidales,Magnoliopsida
missouriensis,Solidago,Solidago missouriensis,Asteraceae,Asterales,Magnoliopsida
smithii,Agropyron,Agropyron smithii,NA,NA,NA
nutuns,Sorghastrrum,Sorghastrrum nutuns,NA,NA,NA
machaon,Papilio,Papilio machaon,Papilionidae,Lepidoptera,Insecta
tumida,Aethina,Aethina tumida,Nitidulidae,Coleoptera,Insecta
clausa,Pinus,Pinus clausa,Pinaceae,Pinales,Pinopsida
iacute,Ornitolog,Ornitolog iacute,NA,NA,NA
sagittata,Balsamorhiza,Balsamorhiza sagittata,Asteraceae,Asterales,Magnoliopsida
japonicus,Bromus,Bromus japonicus,Poaceae,Poales,NA
longifolia,Calamovilfa,Calamovilfa longifolia,Poaceae,Poales,Liliopsida
albofasciata,Aeneolamia,Aeneolamia albofasciata,Cercopidae,Hemiptera,Insecta
tenuisecta,Isocoma,Isocoma tenuisecta,Asteraceae,Asterales,NA
caerulescens,Thamnophilus,Thamnophilus caerulescens,Thamnophilidae,Passeriformes,Aves
nigra,Prosopis,Prosopis nigra,Fabaceae,Fabales,NA
monachus,Myiopsitta,Myiopsitta monachus,Psittacidae,Psittaciformes,Aves
quebracho,Aspidosperma,Aspidosperma quebracho,Apocynaceae,Gentianales,Magnoliopsida
lorentzii,Schinopsis,Schinopsis lorentzii,NA,NA,NA
mistol,Zizyphus,Zizyphus mistol,NA,NA,NA
melanochloros,Colaptes,Colaptes melanochloros,Picidae,Piciformes,Aves
angustirostris,Lepidocolaptes,Lepidocolaptes angustirostris,Furnariidae,Passeriformes,Aves
pyrrhophia,Cranioleuca,Cranioleuca pyrrhophia,Furnariidae,Passeriformes,Aves
aurantiirostris,Saltator,Saltator aurantiirostris,Thraupidae,Passeriformes,Aves
purpureum,Petalostemum,Petalostemum purpureum,NA,NA,NA
curtiplendula,Bouteloua,Bouteloua curtiplendula,Poaceae,Poales,NA
illinoensis,Desmanthus,Desmanthus illinoensis,Fabaceae,Fabales,Magnoliopsida
spragueii,Anthus,Anthus spragueii,Motacillidae,Passeriformes,Aves
leconteii,Ammodramus,Ammodramus leconteii,Passerellidae,Passeriformes,Aves
tenuis,Stipa,Stipa tenuis,Poaceae,Poales,Liliopsida
napostaense,Piptochaetium,Piptochaetium napostaense,Poaceae,Poales,Liliopsida
gynerioides,Stipa,Stipa gynerioides,NA,NA,NA
eximius,Bombus,Bombus eximius,Apidae,Hymenoptera,Insecta
speciosum,Achnatherum,Achnatherum speciosum,NA,NA,NA
smithii,Pascopyrum,Pascopyrum smithii,Poaceae,Poales,Liliopsida
dubius,Tragopogon,Tragopogon dubius,Asteraceae,Asterales,Magnoliopsida
micropus,Neotoma,Neotoma micropus,Cricetidae,Rodentia,Mammalia
zaptlana,Megachile,Megachile zaptlana,Megachilidae,Hymenoptera,Insecta
nthidiellum,Heriades,Heriades nthidiellum,NA,NA,NA
robustum,Achnatherum,Achnatherum robustum,Poaceae,Poales,Liliopsida
subintermedius,Dipogon,Dipogon subintermedius,Pompilidae,Hymenoptera,Insecta
confusus,Hylaeus,Hylaeus confusus,Colletidae,Hymenoptera,Insecta
ligniseca,Megachile,Megachile ligniseca,Megachilidae,Hymenoptera,Insecta
gropyron,Stipa,Stipa gropyron,NA,NA,NA
hallii,Festuca,Festuca hallii,Poaceae,Poales,Liliopsida
curtiseta,Stipa,Stipa curtiseta,NA,NA,NA
dasystachyum,Agropyron,Agropyron dasystachyum,NA,NA,NA
canescens,Corynephorus,Corynephorus canescens,Poaceae,Poales,Liliopsida
elongata,Armeria,Armeria elongata,NA,NA,NA
deltoides,Dianthus,Dianthus deltoides,Caryophyllaceae,Caryophyllales,Magnoliopsida
quadrinotatum,Lasioglossum,Lasioglossum quadrinotatum,Halictidae,Hymenoptera,Insecta
hallii,Andropogon,Andropogon hallii,Poaceae,Poales,Liliopsida
scopurium,Schizachyrium,Schizachyrium scopurium,NA,NA,NA
Waterbir,Colonial,Colonial Waterbir,NA,NA,NA
appositus,Bombus,Bombus appositus,Apidae,Hymenoptera,Insecta
halapense,Sorghum,Sorghum halapense,Poaceae,Poales,Liliopsida
muta,Lagopus,Lagopus muta,Phasianidae,Galliformes,Aves
sulphureus,Lupinus,Lupinus sulphureus,Fabaceae,Fabales,Magnoliopsida
anhypops,Lasioglossum,Lasioglossum anhypops,Halictidae,Hymenoptera,Insecta
bombi,Crithidia,Crithidia bombi,NA,NA,NA
bombi,Apicystis,Apicystis bombi,NA,NA,NA
splendidus,Syntretus,Syntretus splendidus,NA,NA,NA
mariqueter,Scirpus,Scirpus mariqueter,NA,NA,NA
monacha,Grus,Grus monacha,Gruidae,Gruiformes,Aves
officinalis,Stachys,Stachys officinalis,Lamiaceae,Lamiales,Magnoliopsida
splendens,Salvia,Salvia splendens,Lamiaceae,Lamiales,NA
lanatus,Citrullus,Citrullus lanatus,Cucurbitaceae,Cucurbitales,Magnoliopsida
lycopersicum,Solanum,Solanum lycopersicum,Solanaceae,Solanales,Magnoliopsida
melo,Capsicum,Capsicum melo,Solanaceae,Solanales,NA
melo,Cucumis,Cucumis melo,Cucurbitaceae,Cucurbitales,NA
wyvilliana,Anas,Anas wyvilliana,NA,NA,NA
fullonum,Dispsacus,Dispsacus fullonum,NA,NA,NA
pectiniforme,Agropyron,Agropyron pectiniforme,NA,NA,NA
nutans,Sorghusrrum,Sorghusrrum nutans,NA,NA,NA
reevesi,Muntiacus,Muntiacus reevesi,Cervidae,Artiodactyla,Mammalia
barbatus,Gypaetus,Gypaetus barbatus,Gypaetus,Accipitriformes,Aves
californicus,Lepus,Lepus californicus,Leporidae,Lagomorpha,Mammalia
devastator,Melanoplus,Melanoplus devastator,Acrididae,Orthoptera,NA
beecheyi,Spermophilus,Spermophilus beecheyi,NA,NA,NA
tuberosa,Phalaris,Phalaris tuberosa,NA,NA,NA
asperum,Taeniatherum,Taeniatherum asperum,NA,NA,NA
echinatus,Cynosurus,Cynosurus echinatus,Poaceae,Poales,NA
hirtum,Trifolium,Trifolium hirtum,Fabaceae,Fabales,Magnoliopsida
dactyloides,Buchloe,Buchloe dactyloides,Poaceae,Poales,Liliopsida
parryi,Danthonia,Danthonia parryi,Poaceae,Poales,Liliopsida
filiculmis,Muhlenbergia,Muhlenbergia filiculmis,Poaceae,Poales,NA
indicus,Sporobolus,Sporobolus indicus,Poaceae,Poales,Liliopsida
dilatatum,Paspalum,Paspalum dilatatum,Poaceae,Poales,Liliopsida
laguroides,Bothriochloa,Bothriochloa laguroides,Poaceae,Poales,NA
americana,Aythya,Aythya americana,Anatidae,Anseriformes,Aves
jamaicensis,Oxyura,Oxyura jamaicensis,Anatidae,Anseriformes,Aves
angustus,Leymus,Leymus angustus,Poaceae,Poales,Liliopsida
viridula,Stipa,Stipa viridula,NA,NA,NA
cryptandrus,Sporobolus,Sporobolus cryptandrus,Poaceae,Poales,Liliopsida
filifolia,Carex,Carex filifolia,Cyperaceae,Poales,Liliopsida
dactylodies,Buchloe,Buchloe dactylodies,NA,NA,NA
ciliaris,Eragrostis,Eragrostis ciliaris,Poaceae,Poales,Liliopsida
tinctoria,Indigofera,Indigofera tinctoria,Fabaceae,Fabales,Magnoliopsida
sagittatum,Oxygonum,Oxygonum sagittatum,NA,NA,NA
garckeana,Ipomoea,Ipomoea garckeana,NA,NA,NA
forskalaei,Commelina,Commelina forskalaei,Commelinaceae,Commelinales,Liliopsida
senegalense,Leptothrium,Leptothrium senegalense,Poaceae,Poales,Liliopsida
columba,Cepphus,Cepphus columba,Alcidae,Charadriiformes,Aves
bachmani,Haematopus,Haematopus bachmani,Haematopodidae,Charadriiformes,Aves
familiaris,Certhia,Certhia familiaris,Certhiidae,Passeriformes,Aves
leucopsis,Sitta,Sitta leucopsis,Sittidae,Passeriformes,Aves
uralensis,Strix,Strix uralensis,Strigidae,Strigiformes,Aves
rubidiventris,Parus,Parus rubidiventris,NA,NA,NA
NA,Str,Str ,NA,NA,NA
stricta,Distichlis,Distichlis stricta,NA,NA,NA
scopulorum,Juniperus,Juniperus scopulorum,Cupressaceae,Pinales,Pinopsida
nuttali,Atriplex,Atriplex nuttali,NA,NA,NA
densiflorum,Lepidium,Lepidium densiflorum,Brassicaceae,Brassicales,Magnoliopsida
tridentata,Artemesia,Artemesia tridentata,Asteraceae,Asterales,NA
span,Pinus,Pinus span,Pinaceae,Pinales,Pinopsida
gumbelii,Quercus,Quercus gumbelii,Fagaceae,Fagales,NA
cereale,Secule,Secule cereale,NA,NA,NA
span,Zea,Zea span,Poaceae,Poales,Liliopsida
span,Tettigoniidae,Tettigoniidae span,NA,NA,NA
intermedium,Thinopyrum,Thinopyrum intermedium,Poaceae,Poales,Liliopsida
longifolia,Calomovilfa,Calomovilfa longifolia,NA,NA,NA
trichodes,Eragrostis,Eragrostis trichodes,NA,NA,NA
intermedia,Eragrostis,Eragrostis intermedia,Poaceae,Poales,Liliopsida
americana,Antilocapra,Antilocapra americana,Antilocapridae,Artiodactyla,Mammalia
abdimii,Ciconia,Ciconia abdimii,Ciconiidae,Ciconiiformes,Aves
span,Opuntia,Opuntia span,Cactaceae,Caryophyllales,NA
lehmanniana,Eragostis,Eragostis lehmanniana,NA,NA,NA
curvula,Eragrostis,Eragrostis curvula,Poaceae,Poales,Liliopsida
gerardi,Andropogon,Andropogon gerardi,Poaceae,Poales,Liliopsida
canescens,Atriplex,Atriplex canescens,Chenopodiaceae,Caryophyllales,Magnoliopsida
lehmanniana,Erogrostis,Erogrostis lehmanniana,NA,NA,NA
ischaemum,Bothriochloa,Bothriochloa ischaemum,Poaceae,Poales,NA
coloratum,Panicum,Panicum coloratum,Poaceae,Poales,Liliopsida
airoides,Sporobolus,Sporobolus airoides,Poaceae,Poales,Liliopsida
scoparia,Kochia,Kochia scoparia,Amaranthaceae,Caryophyllales,Magnoliopsida
smithii,Parsopyrum,Parsopyrum smithii,NA,NA,NA
tecto,Bromus,Bromus tecto,Poaceae,Poales,NA
juncea,Psathrostachyis,Psathrostachyis juncea,NA,NA,NA
caerulea,Egretta,Egretta caerulea,Ardeidae,Pelecaniformes,Aves
albus,Casmerodius,Casmerodius albus,NA,NA,NA
violacea,Nyctanassa,Nyctanassa violacea,Ardeidae,Pelecaniformes,Aves
thula,Egretta,Egretta thula,Ardeidae,Pelecaniformes,Aves
paysonis,Carex,Carex paysonis,Cyperaceae,Poales,Liliopsida
span,Carex,Carex span,NA,NA,NA
outeloua,Stipa,Stipa outeloua,NA,NA,NA
pilosa,Phlox,Phlox pilosa,Polemoniaceae,Ericales,Magnoliopsida
indiana,Schinia,Schinia indiana,Noctuidae,Lepidoptera,Insecta
gorgone,Chlosyne,Chlosyne gorgone,Nymphalidae,Lepidoptera,Insecta
martialis,Erynnis,Erynnis martialis,Hesperiidae,Lepidoptera,Insecta
olympia,Euchloe,Euchloe olympia,Pieridae,Lepidoptera,Insecta
persius,Erynnis,Erynnis persius,Hesperiidae,Lepidoptera,Insecta
hianna,Atrytonopsis,Atrytonopsis hianna,Hesperiidae,Lepidoptera,Insecta
integrifolia,Grindelia,Grindelia integrifolia,Asteraceae,Asterales,Magnoliopsida
xanthoides,Lycaena,Lycaena xanthoides,Lycaenidae,Lepidoptera,Insecta
salicifolius,Rumex,Rumex salicifolius,Polygonaceae,Caryophyllales,NA
hyperantus,Aphantophus,Aphantophus hyperantus,NA,NA,NA
semiargus,Polyommatus,Polyommatus semiargus,Lycaenidae,Lepidoptera,Insecta
arcania,Coenonympha,Coenonympha arcania,Nymphalidae,Lepidoptera,Insecta
rubra,Myrmica,Myrmica rubra,Formicidae,Hymenoptera,Insecta
teleius,Maculinea,Maculinea teleius,Lycaenidae,Lepidoptera,Insecta
scabrinodis,Myrmica,Myrmica scabrinodis,Formicidae,Hymenoptera,Insecta
scoparium,Schizachrium,Schizachrium scoparium,NA,NA,NA
minor,Sanguisorba,Sanguisorba minor,Rosaceae,Rosales,NA
span,Elymus,Elymus span,NA,NA,NA
squarrosus,Thymus,Thymus squarrosus,NA,NA,NA
criptantha,Salvia,Salvia criptantha,Lamiaceae,Lamiales,NA
isthmocarpa,Asphodeline,Asphodeline isthmocarpa,NA,NA,NA
sativa,Vicia,Vicia sativa,Fabaceae,Fabales,Magnoliopsida
californicum,Trichachne,Trichachne californicum,NA,NA,NA
NA,Boutelo,Boutelo ,NA,NA,NA
span,Stipa,Stipa span,NA,NA,NA
rotundifolia,Tithonia,Tithonia rotundifolia,Asteraceae,Asterales,Magnoliopsida
bipinnatus,Cosmos,Cosmos bipinnatus,Asteraceae,Asterales,Magnoliopsida
robustior,Melissodes,Melissodes robustior,Apidae,Hymenoptera,Insecta
urbana,Anthophora,Anthophora urbana,Apidae,Hymenoptera,Insecta
pyramidata,Koeleria,Koeleria pyramidata,Poaceae,Poales,Liliopsida
microphylla,Rhus,Rhus microphylla,Anacardiaceae,Sapindales,Magnoliopsida
asper,Sporobolus,Sporobolus asper,NA,NA,NA
pinchotii,Juniperus,Juniperus pinchotii,Cupressaceae,Pinales,Pinopsida
saccharoides,Bothriochloa,Bothriochloa saccharoides,Poaceae,Poales,NA
muticus,Tridens,Tridens muticus,Poaceae,Poales,Liliopsida
pilosum,Erioneuron,Erioneuron pilosum,NA,NA,NA
cognatum,Leptoloma,Leptoloma cognatum,NA,NA,NA
aromatica,Rhus,Rhus aromatica,Anacardiaceae,Sapindales,Magnoliopsida
trtfoliolata,Berberis,Berberis trtfoliolata,NA,NA,NA
dracunculoides,Xanthocephalum,Xanthocephalum dracunculoides,NA,NA,NA
gambelii,Lophortyx,Lophortyx gambelii,NA,NA,NA
span,Pro,Pro span,NA,NA,NA
squamata,Callipepla,Callipepla squamata,Odontophoridae,Galliformes,Aves
tajacu,Dicotyles,Dicotyles tajacu,NA,NA,NA
audubonii,Sylvilagus,Sylvilagus audubonii,Leporidae,Lagomorpha,Mammalia
ferulifolia,Bidens,Bidens ferulifolia,NA,NA,NA
perezii,Limonium,Limonium perezii,Plumbaginaceae,Caryophyllales,Magnoliopsida
amygdaloides,Salix,Salix amygdaloides,Salicaceae,Malpighiales,Magnoliopsida
span,Salix,Salix span,Salicaceae,Malpighiales,Magnoliopsida
donax,Arundo,Arundo donax,Poaceae,Poales,Liliopsida
subsecundum,Agropyron,Agropyron subsecundum,NA,NA,NA
texensis,Echinocactus,Echinocactus texensis,Cactaceae,Caryophyllales,Magnoliopsida
ductyloides,Buchloe,Buchloe ductyloides,NA,NA,NA
gummifera,Mammillaria,Mammillaria gummifera,NA,NA,NA
reichenbachii,Echinocereus,Echinocereus reichenbachii,Cactaceae,Caryophyllales,Magnoliopsida
span,Ovis,Ovis span,NA,NA,NA
purpurea,Aristida,Aristida purpurea,Poaceae,Poales,Liliopsida
span,Chondestes,Chondestes span,NA,NA,NA
asper,Sporobolis,Sporobolis asper,NA,NA,NA
barbata,Stipa,Stipa barbata,Poaceae,Poales,Liliopsida
rigida,Salsola,Salsola rigida,NA,NA,NA
odorata,Hymenoxys,Hymenoxys odorata,NA,NA,NA
pseudo,Robinia,Robinia pseudo,Fabaceae,Fabales,NA
wrightii,Eriogonum,Eriogonum wrightii,Polygonaceae,Caryophyllales,NA
californica,Digitaria,Digitaria californica,Poaceae,Poales,NA
juliflora,Prosopis,Prosopis juliflora,Fabaceae,Fabales,NA
rothrockii,Bouteloua,Bouteloua rothrockii,Poaceae,Poales,NA
divaricnta,Aristida,Aristida divaricnta,NA,NA,NA
tenuisectus,Haplopappus,Haplopappus tenuisectus,NA,NA,NA
bracteata,Rosa,Rosa bracteata,Rosaceae,Rosales,NA
stellata,Quercus,Quercus stellata,Fagaceae,Fagales,NA
canadensis,Astragalus,Astragalus canadensis,Fabaceae,Fabales,NA
patens,Anemone,Anemone patens,Ranunculaceae,Ranunculales,Magnoliopsida
angustifolia,Echinacea,Echinacea angustifolia,Asteraceae,Asterales,Magnoliopsida
maculata,Cicuta,Cicuta maculata,Apiaceae,Apiales,NA
cylindrica,Anemone,Anemone cylindrica,Ranunculaceae,Ranunculales,Magnoliopsida
sericeus,Aster,Aster sericeus,NA,NA,NA
crassicarpus,Astragalus,Astragalus crassicarpus,Fabaceae,Fabales,NA
puberula,Gentiana,Gentiana puberula,NA,NA,NA
triflorum,Geum,Geum triflorum,Rosaceae,Rosales,Magnoliopsida
ligulistylis,Liatris,Liatris ligulistylis,Asteraceae,Asterales,Magnoliopsida
punctata,Liatris,Liatris punctata,Asteraceae,Asterales,Magnoliopsida
philadelphicum,Lilium,Lilium philadelphicum,Liliaceae,Liliales,Liliopsida
candensis,Pedicularis,Pedicularis candensis,Orobanchaceae,Lamiales,Magnoliopsida
columnifera,Ratibida,Ratibida columnifera,Asteraceae,Asterales,Magnoliopsida
fasciculuta,Vernonia,Vernonia fasciculuta,NA,NA,NA
sericea,Eriochloa,Eriochloa sericea,NA,NA,NA
leucotricha,Nassella,Nassella leucotricha,Poaceae,Poales,Liliopsida
obtusum,Panicum,Panicum obtusum,Poaceae,Poales,Liliopsida
leucopila,Setaria,Setaria leucopila,Poaceae,Poales,NA
scleroxylon,Triplochiton,Triplochiton scleroxylon,Malvaceae,Malvales,Magnoliopsida
abnormis,Bicyclus,Bicyclus abnormis,Nymphalidae,Lepidoptera,Insecta
crockeri,Euphaedra,Euphaedra crockeri,Nymphalidae,Lepidoptera,Insecta
span,Tetradymia,Tetradymia span,NA,NA,NA
viscidiflorus,Chrysothamnus,Chrysothamnus viscidiflorus,Asteraceae,Asterales,Magnoliopsida
nbsp,Calamagrostis,Calamagrostis nbsp,NA,NA,NA
spicutum,Agropyron,Agropyron spicutum,NA,NA,NA
dimorpha,Antennaria,Antennaria dimorpha,Asteraceae,Asterales,Magnoliopsida
nauseosus,Chrysothamnus,Chrysothamnus nauseosus,NA,NA,NA
stricta,Aristida,Aristida stricta,Poaceae,Poales,Liliopsida
span,Ilex,Ilex span,NA,NA,NA
curtissii,Sporobolus,Sporobolus curtissii,NA,NA,NA
chilensis,Aster,Aster chilensis,NA,NA,NA
tridentata,Purshia,Purshia tridentata,Rosaceae,Rosales,Magnoliopsida
verticillata,Chloris,Chloris verticillata,NA,NA,NA
longiseta,Aristida,Aristida longiseta,NA,NA,NA
paniculatus,Schedonnardus,Schedonnardus paniculatus,Poaceae,Poales,Liliopsida
brassicae,Pieris,Pieris brassicae,Pieridae,Lepidoptera,NA
torreyi,Muhlenbergia,Muhlenbergia torreyi,Poaceae,Poales,NA
span,Agropyron,Agropyron span,NA,NA,NA
uniperus,Pinus,Pinus uniperus,Pinaceae,Pinales,Pinopsida
edulis,Valeriana,Valeriana edulis,Caprifoliaceae,Dipsacales,Magnoliopsida
richardsoni,Geranium,Geranium richardsoni,Geraniaceae,Geraniales,Magnoliopsida
porteri,Ligusticum,Ligusticum porteri,NA,NA,NA
viciae,Zygaena,Zygaena viciae,Zygaenidae,Lepidoptera,Insecta
anglicum,Sedum,Sedum anglicum,Crassulaceae,Saxifragales,Magnoliopsida
span,Andropogon,Andropogon span,NA,NA,NA
hirsutus,Elyonurus,Elyonurus hirsutus,NA,NA,NA
articulata,Tamarix,Tamarix articulata,Tamaricaceae,Caryophyllales,Magnoliopsida
dromedarius,Camelus,Camelus dromedarius,Camelidae,Artiodactyla,Mammalia
jujuba,Zizyphus,Zizyphus jujuba,NA,NA,NA
splicigera,Prosopis,Prosopis splicigera,Fabaceae,Fabales,NA
orbiculatus,Symphoricarpos,Symphoricarpos orbiculatus,Caprifoliaceae,Dipsacales,Magnoliopsida
glabra,Rhus,Rhus glabra,Anacardiaceae,Sapindales,Magnoliopsida
span,Panicum,Panicum span,Poaceae,Poales,Liliopsida
stipulacea,Kummerowia,Kummerowia stipulacea,Fabaceae,Fabales,Magnoliopsida
festivella,Carex,Carex festivella,NA,NA,NA
span,Agrostis,Agrostis span,NA,NA,NA
heterolepis,Sporobolus,Sporobolus heterolepis,Poaceae,Poales,Liliopsida
repens,Agropyron,Agropyron repens,NA,NA,NA
bicolor,Sorghum,Sorghum bicolor,Poaceae,Poales,Liliopsida
pacos,Vicugna,Vicugna pacos,Camelidae,Artiodactyla,Mammalia
sp.,Austrostipa,Austrostipa sp.,Poaceae,Poales,Liliopsida
farnesiana,Vachellia,Vachellia farnesiana,Fabaceae,Fabales,NA
NA,Nard,Nard ,NA,NA,NA
NA,Molin,Molin ,NA,NA,NA
NA,Avenel,Avenel ,NA,NA,NA
angustifolia,Poa,Poa angustifolia,Poaceae,Poales,NA
pseudovina,Festuca,Festuca pseudovina,NA,NA,NA
paniculata,Festuca,Festuca paniculata,Poaceae,Poales,Liliopsida
torquata,Saxicola,Saxicola torquata,NA,NA,NA
icterina,Hippolais,Hippolais icterina,Acrocephalidae,Passeriformes,Aves
NA,Anth,Anth ,NA,NA,NA
NA,Locustel,Locustel ,NA,NA,NA
plana,Synemon,Synemon plana,Castniidae,Lepidoptera,Insecta
pallustris,Athetis,Athetis pallustris,Noctuidae,Lepidoptera,Insecta
reticulata,Heliophobus,Heliophobus reticulata,Noctuidae,Lepidoptera,Insecta
musculosa,Oria,Oria musculosa,Noctuidae,Lepidoptera,Insecta
bombycina,Polia,Polia bombycina,Noctuidae,Lepidoptera,Insecta
subrosea,Coenophila,Coenophila subrosea,Noctuidae,Lepidoptera,Insecta
gale,Myrica,Myrica gale,Myricaceae,Fagales,Magnoliopsida
